epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.79,3.95031,18.5013,2.47397,0,0,0,0,3.20178,11.8494,1.99673,4e-05,4e-05,4e-05
2,106.115,3.57319,11.6239,1.99589,0.00111,0.25,0.00248,0.00099,2.77121,17.7234,1.74035,9.901e-05,9.901e-05,9.901e-05
3,149.469,2.88222,6.31125,1.64193,0.58207,0.75,0.65125,0.29701,1.87218,6.57758,1.29344,0.000156832,0.000156832,0.000156832
4,186.148,2.57722,5.17381,1.45166,0.95947,0.75,0.76352,0.28118,1.58638,5.54461,1.21436,0.000213466,0.000213466,0.000213466
5,224.575,2.08425,3.51006,1.16545,0.78561,0.92806,0.945,0.38613,1.74501,4.66977,1.19786,0.000268912,0.000268912,0.000268912
6,258.259,2.20342,2.33138,1.1837,0.91032,1,0.995,0.30385,2.08218,6.30125,1.32565,0.00032317,0.00032317,0.00032317
7,291.337,2.19059,2.34977,1.33035,0.9236,1,0.995,0.3168,1.83414,3.60082,1.16552,0.00037624,0.00037624,0.00037624
8,335.218,1.92854,2.20605,1.19931,0.94498,1,0.995,0.39696,1.54807,2.49116,1.10197,0.000428122,0.000428122,0.000428122
9,375.359,1.84585,1.59531,1.17336,0.07012,1,0.07927,0.03858,1.21784,34.2488,1.0676,0.000478816,0.000478816,0.000478816
10,403.112,1.71486,1.5925,1.1123,0.76797,1,0.945,0.41855,1.17542,2.64334,1.08916,0.000528322,0.000528322,0.000528322
11,432.408,1.82315,1.44091,1.08745,0.482,1,0.56857,0.30619,1.42947,4.70892,1.15902,0.00057664,0.00057664,0.00057664
12,464.37,1.89384,1.47936,1.20418,0.38681,1,0.44222,0.23363,1.39014,5.78534,1.18739,0.00062377,0.00062377,0.00062377
13,499.331,1.76927,1.34533,1.12162,0.7708,1,0.895,0.56944,1.58169,2.14342,1.19308,0.000669712,0.000669712,0.000669712
14,531.642,1.74605,1.29033,1.168,0.29679,1,0.36182,0.22108,1.2834,2.82576,1.17322,0.000714466,0.000714466,0.000714466
15,560.155,1.73502,1.1275,1.08317,0.98268,1,0.995,0.71512,1.14346,1.06448,0.98647,0.000758032,0.000758032,0.000758032
16,588.698,1.77387,1.1272,1.10099,0.9853,1,0.995,0.80221,1.11502,1.15039,0.98226,0.00080041,0.00080041,0.00080041
17,618.764,1.81138,1.1162,1.16939,0.79677,1,0.845,0.37919,1.64847,1.3788,1.19918,0.0008416,0.0008416,0.0008416
18,647.382,1.91653,1.1698,1.09894,0.7179,1,0.945,0.58048,1.37531,1.74249,1.13045,0.000881602,0.000881602,0.000881602
